PEP_ID;BBCH;YEAR;DAY
1452;87;1951;126
4791;87;1951;126
4716;87;1951;132
6257;87;1951;132
3777;87;1951;135
5314;87;1951;135
6088;87;1951;138
1918;87;1951;139
4836;87;1951;142
5248;87;1951;142
1548;87;1951;143
1924;87;1951;145
1942;87;1951;145
2012;87;1951;145
2014;87;1951;145
2027;87;1951;145
2729;87;1951;145
5788;87;1951;145
1922;87;1951;146
3064;87;1951;146
3283;87;1951;146
3057;87;1951;147
2143;87;1951;148
2724;87;1951;148
3038;87;1951;148
3112;87;1951;148
4331;87;1951;148
1898;87;1951;149
1915;87;1951;149
1916;87;1951;149
3063;87;1951;149
3202;87;1951;149
2509;87;1951;150
2962;87;1951;150
3118;87;1951;150
3145;87;1951;150
3209;87;1951;150
5867;87;1951;150
2961;87;1951;151
3161;87;1951;151
3579;87;1951;151
648;87;1951;152
1950;87;1951;152
2294;87;1951;152
2547;87;1951;152
2647;87;1951;152
3147;87;1951;152
3744;87;1951;152
4234;87;1951;152
4388;87;1951;152
3726;87;1951;153
4149;87;1951;153
1921;87;1951;153
2356;87;1951;153
2737;87;1951;153
3046;87;1951;153
3099;87;1951;153
3211;87;1951;153
1949;87;1951;154
1963;87;1951;154
2933;87;1951;154
2964;87;1951;154
3141;87;1951;154
3155;87;1951;154
3179;87;1951;154
6244;87;1951;154
3810;87;1951;155
4843;87;1951;155
5946;87;1951;155
917;87;1951;155
1948;87;1951;155
2370;87;1951;155
3102;87;1951;155
2499;87;1951;156
2750;87;1951;156
2822;87;1951;156
2902;87;1951;156
3086;87;1951;156
3693;87;1951;156
4430;87;1951;156
4975;87;1951;156
6027;87;1951;156
6109;87;1951;156
6179;87;1951;156
4423;87;1951;157
4896;87;1951;157
958;87;1951;157
2068;87;1951;157
2957;87;1951;157
2966;87;1951;157
918;87;1951;158
2008;87;1951;158
2383;87;1951;158
3028;87;1951;158
3096;87;1951;158
3754;87;1951;158
4271;87;1951;158
4039;87;1951;159
4301;87;1951;159
4339;87;1951;159
5482;87;1951;159
1992;87;1951;159
2043;87;1951;159
2208;87;1951;159
2019;87;1951;160
2049;87;1951;160
3736;87;1951;160
3814;87;1951;160
4012;87;1951;160
4272;87;1951;160
6417;87;1951;160
3720;87;1951;161
3883;87;1951;161
4019;87;1951;161
4041;87;1951;161
4043;87;1951;161
4065;87;1951;161
4265;87;1951;161
4336;87;1951;161
4362;87;1951;161
4400;87;1951;161
4405;87;1951;161
4434;87;1951;161
4441;87;1951;161
4741;87;1951;161
4804;87;1951;161
4809;87;1951;161
5582;87;1951;161
5642;87;1951;161
5849;87;1951;161
5919;87;1951;161
6116;87;1951;161
14;87;1951;161
453;87;1951;161
1109;87;1951;161
1979;87;1951;161
1994;87;1951;161
2086;87;1951;161
2299;87;1951;161
2392;87;1951;161
2393;87;1951;161
2571;87;1951;161
2650;87;1951;161
2651;87;1951;161
2876;87;1951;161
2969;87;1951;161
2989;87;1951;161
3093;87;1951;161
3107;87;1951;161
3532;87;1951;161
385;87;1951;162
404;87;1951;162
716;87;1951;162
2274;87;1951;162
2303;87;1951;162
2794;87;1951;162
3103;87;1951;162
3716;87;1951;162
4144;87;1951;162
4241;87;1951;162
4284;87;1951;162
5617;87;1951;162
5707;87;1951;162
5871;87;1951;162
5883;87;1951;162
5893;87;1951;162
3748;87;1951;163
3888;87;1951;163
3992;87;1951;163
4363;87;1951;163
4364;87;1951;163
4384;87;1951;163
4782;87;1951;163
5371;87;1951;163
5422;87;1951;163
5467;87;1951;163
5729;87;1951;163
5830;87;1951;163
5896;87;1951;163
6079;87;1951;163
6159;87;1951;163
675;87;1951;163
1937;87;1951;163
1972;87;1951;163
2052;87;1951;163
2147;87;1951;163
2224;87;1951;163
2307;87;1951;163
2434;87;1951;163
2963;87;1951;163
2986;87;1951;163
738;87;1951;164
1952;87;1951;164
2141;87;1951;164
2353;87;1951;164
3031;87;1951;164
3097;87;1951;164
3137;87;1951;164
3595;87;1951;164
3779;87;1951;164
4290;87;1951;164
4399;87;1951;164
5044;87;1951;164
5515;87;1951;164
5756;87;1951;164
5813;87;1951;164
5955;87;1951;164
4075;87;1951;165
4083;87;1951;165
4105;87;1951;165
4256;87;1951;165
4448;87;1951;165
4453;87;1951;165
4773;87;1951;165
4817;87;1951;165
4924;87;1951;165
5193;87;1951;165
5427;87;1951;165
5698;87;1951;165
5738;87;1951;165
401;87;1951;165
644;87;1951;165
2011;87;1951;165
2511;87;1951;165
3024;87;1951;165
3088;87;1951;165
3151;87;1951;165
27;87;1951;166
491;87;1951;166
562;87;1951;166
696;87;1951;166
956;87;1951;166
1988;87;1951;166
1990;87;1951;166
2045;87;1951;166
2064;87;1951;166
2212;87;1951;166
2214;87;1951;166
2275;87;1951;166
2337;87;1951;166
2347;87;1951;166
2615;87;1951;166
2810;87;1951;166
3041;87;1951;166
3070;87;1951;166
3139;87;1951;166
3508;87;1951;166
3533;87;1951;166
3677;87;1951;166
3694;87;1951;166
3704;87;1951;166
