"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo"
3156,136.391414116709,57.9640907693781,7.1443546790209,1,1951,51.9,9.85,"51.9 9.85","1950-1960",112
2688,131.262168093153,163.71964285883,9.38467720959095,1,1952,51.9,9.85,"51.9 9.85","1950-1960",105
2148,106.491068531901,132.553239473887,9.84887074760251,1,1953,51.9,9.85,"51.9 9.85","1950-1960",104
2532,121.033231721928,64.876085293011,7.62983853913723,1,1954,51.9,9.85,"51.9 9.85","1950-1960",120
1776,105.89389079874,79.5025148978239,7.8561288566599,1,1955,51.9,9.85,"51.9 9.85","1950-1960",121
2016,103.644008776676,81.1900659978991,7.65403208698356,1,1956,51.9,9.85,"51.9 9.85","1950-1960",130
2640,131.074776807021,91.8191143975015,8.43016110189379,1,1957,51.9,9.85,"51.9 9.85","1950-1960",116
2256,110.650161664194,63.3316126422637,7.03193532669496,1,1958,51.9,9.85,"51.9 9.85","1950-1960",122
2376,116.96249297076,149.903528936929,10.2572578352485,1,1959,51.9,9.85,"51.9 9.85","1950-1960",109
2688,124.906617549389,155.707533230648,10.4883868623405,1,1960,51.9,9.85,"51.9 9.85","1950-1960",116
2916,131.50637700505,17.6992184332704,5.07645149943569,2,1951,49.3167,12.75,"49.3167 12.75","1950-1960",112
2256,114.548732555429,84.7277603083323,5.67274180868821,2,1952,49.3167,12.75,"49.3167 12.75","1950-1960",109
2532,121.289616371739,77.9323356270101,7.97967724099515,2,1953,49.3167,12.75,"49.3167 12.75","1950-1960",106
2304,116.216797589856,26.9762897987689,5.95838696359386,2,1954,49.3167,12.75,"49.3167 12.75","1950-1960",122
1896,106.072924175033,84.112960337918,7.53354821870885,2,1955,49.3167,12.75,"49.3167 12.75","1950-1960",122
2232,105.802021159416,91.4800500129816,7.81096756734675,2,1956,49.3167,12.75,"49.3167 12.75","1950-1960",126
2988,134.887502155058,54.3341333636778,6.91887081309312,2,1957,49.3167,12.75,"49.3167 12.75","1950-1960",116
2076,110.120262345448,47.0914978208975,6.12177405671607,2,1958,49.3167,12.75,"49.3167 12.75","1950-1960",136
2748,124.42404874183,126.847436858024,9.62499978486449,2,1959,49.3167,12.75,"49.3167 12.75","1950-1960",103
2496,120.592842298411,77.855470513338,8.19451594587055,2,1960,49.3167,12.75,"49.3167 12.75","1950-1960",102
1896,107.454684547253,18.3601601115797,4.83790311767089,3,1951,49.4,11.4,"49.4 11.4","1950-1960",112
1860,98.0528464307315,98.9824681565365,6.21403211917007,3,1952,49.4,11.4,"49.4 11.4","1950-1960",106
1860,97.4321480386345,69.8856375390269,7.86967724345384,3,1953,49.4,11.4,"49.4 11.4","1950-1960",96
1824,102.009755714411,26.9909824527294,5.25306439871389,3,1954,49.4,11.4,"49.4 11.4","1950-1960",119
1536,91.9116141497373,79.8621896492986,6.60870952970318,3,1955,49.4,11.4,"49.4 11.4","1950-1960",120
1524,91.3667587144009,52.2962077433457,5.88258051367537,3,1956,49.4,11.4,"49.4 11.4","1950-1960",125
2508,116.421501593508,36.5101999326397,5.83048374064627,3,1957,49.4,11.4,"49.4 11.4","1950-1960",111
1704,95.2707674966585,163.787863813373,9.83322558666189,3,1958,49.4,11.4,"49.4 11.4","1950-1960",123
2340,109.610898718172,53.0984757047465,6.94161274806867,3,1959,49.4,11.4,"49.4 11.4","1950-1960",106
2328,105.906788271259,35.2198349581191,5.23596762490248,3,1960,49.4,11.4,"49.4 11.4","1950-1960",105
2256,121.059820081894,32.7090503494639,5.6688708410328,4,1951,48.75,13.5167,"48.75 13.5167","1950-1960",114
1980,106.629006473599,95.5107546974405,6.62806436798025,4,1952,48.75,13.5167,"48.75 13.5167","1950-1960",111
1836,100.71798779337,77.2185890327673,6.89258049110011,4,1953,48.75,13.5167,"48.75 13.5167","1950-1960",110
2064,110.974546431904,29.1678457689243,5.693870840474,4,1954,48.75,13.5167,"48.75 13.5167","1950-1960",122
1560,95.4362962247925,66.5703577764332,6.46645146836677,4,1955,48.75,13.5167,"48.75 13.5167","1950-1960",120
1752,94.4773944010811,56.5590699677953,6.27935469835516,4,1956,48.75,13.5167,"48.75 13.5167","1950-1960",127
2532,121.612123391186,60.0884775186543,6.83709662137253,4,1957,48.75,13.5167,"48.75 13.5167","1950-1960",119
1944,100.711984139405,52.5253365499204,6.32790308436679,4,1958,48.75,13.5167,"48.75 13.5167","1950-1960",95
2352,112.978382291365,119.459619863467,9.30338688882729,4,1959,48.75,13.5167,"48.75 13.5167","1950-1960",107
2304,114.40854946795,73.5100336774926,7.31274177203135,4,1960,48.75,13.5167,"48.75 13.5167","1950-1960",111
2760,127.903320404661,22.9550583302753,5.1172579501365,5,1951,50.95,9.86667,"50.95 9.86667","1950-1960",115
2148,112.31368767338,72.4333681156792,5.05967730626224,5,1952,50.95,9.86667,"50.95 9.86667","1950-1960",107
2364,114.12955423158,47.512333101717,5.89483857791751,5,1953,50.95,9.86667,"50.95 9.86667","1950-1960",96
2424,118.776192472368,22.8085428702487,5.49741923196181,5,1954,50.95,9.86667,"50.95 9.86667","1950-1960",119
1716,101.893530716276,61.3696393994371,6.35209663221312,5,1955,50.95,9.86667,"50.95 9.86667","1950-1960",121
2112,105.188920570049,33.536769308829,5.24951601169643,5,1956,50.95,9.86667,"50.95 9.86667","1950-1960",125
2832,133.594921898882,52.6342046282585,6.92064500660185,5,1957,50.95,9.86667,"50.95 9.86667","1950-1960",110
2052,107.704325580083,40.8042565853755,5.61403213258112,5,1958,50.95,9.86667,"50.95 9.86667","1950-1960",123
2712,123.922825344031,57.3623819306056,6.88564500738416,5,1959,50.95,9.86667,"50.95 9.86667","1950-1960",103
2460,118.258726465596,48.3466887165203,6.45709662986619,5,1960,50.95,9.86667,"50.95 9.86667","1950-1960",111
1872,107.51196189793,31.8984624147045,5.81096761205023,6,1951,50.5167,8.81667,"50.5167 8.81667","1950-1960",115
1824,98.4632651841088,118.418436474842,7.52225789638056,6,1952,50.5167,8.81667,"50.5167 8.81667","1950-1960",107
1632,91.7601505736736,94.3943750459442,8.89741915596589,6,1953,50.5167,8.81667,"50.5167 8.81667","1950-1960",100
1896,105.599862036276,37.0438011770204,5.83419341798271,6,1954,50.5167,8.81667,"50.5167 8.81667","1950-1960",121
1524,94.8787236188133,49.5192235998891,5.68387084069752,6,1955,50.5167,8.81667,"50.5167 8.81667","1950-1960",120
1500,89.0661285781035,71.617150145199,6.87322565282304,6,1956,50.5167,8.81667,"50.5167 8.81667","1950-1960",122
