"Mean.Utah.1","Mean.Port.1","Mean.GDD.1","Spring.Temp.1","Site Num..1","Mean.Utah.2","Mean.Port.2","Mean.GDD.2","Spring.Temp.2","Site Num..2","Mean.Utah.3","Mean.Port.3","Mean.GDD.3","Spring.Temp.3","Site Num..3","Mean.Utah.4","Mean.Port.4","Mean.GDD.4","Spring.Temp.4","Site Num..4","Mean.Utah.5","Mean.Port.5","Mean.GDD.5","Spring.Temp.5","Site Num..5","Mean.Utah.6","Mean.Port.6","Mean.GDD.6","Spring.Temp.6","Site Num..6","Mean.Utah.7","Mean.Port.7","Mean.GDD.7","Spring.Temp.7","Site Num..7","Mean.Utah.8","Mean.Port.8","Mean.GDD.8","Spring.Temp.8","Site Num..8","Mean.Utah.9","Mean.Port.9","Mean.GDD.9","Spring.Temp.9","Site Num..9","Mean.Utah.10","Mean.Port.10","Mean.GDD.10","Spring.Temp.10","Site Num..10","Mean.Utah.11","Mean.Port.11","Mean.GDD.11","Spring.Temp.11","Site Num..11","Mean.Utah.12","Mean.Port.12","Mean.GDD.12","Spring.Temp.12","Site Num..12","Mean.Utah.13","Mean.Port.13","Mean.GDD.13","Spring.Temp.13","Site Num..13","Mean.Utah.14","Mean.Port.14","Mean.GDD.14","Spring.Temp.14","Site Num..14","Mean.Utah.15","Mean.Port.15","Mean.GDD.15","Spring.Temp.15","Site Num..15","Mean.Utah.16","Mean.Port.16","Mean.GDD.16","Spring.Temp.16","Site Num..16","Mean.Utah.17","Mean.Port.17","Mean.GDD.17","Spring.Temp.17","Site Num..17"
2664,119.969976243092,71.5689504261557,7.60274176554935,1,2712,120.825284463365,94.0938739605356,8.455161101335,2,2388,112.270978037898,72.8969535828926,7.61741918457612,3,2220,108.795461490482,59.8229874194521,7.12177403436433,4,2520,117.775416499957,50.9277290625119,6.84741920178696,5,2232,113.195964502579,55.051603190707,6.24177405403386,6,2352,115.628277598598,64.0354954069149,7.26774177303718,7,2688,122.185261908446,74.6102139045451,7.88806433981705,8,2640,121.161784012187,101.437896573789,8.67338690290888,9,2400,117.840998330557,62.4299043420777,7.25693532166582,10,2520,118.696756765277,66.7456847626102,7.48274176823156,11,2304,114.369859843171,72.5874534189239,7.43612886604763,12,2172,110.689549374429,106.977821930402,9.08838689363291,13,2496,119.670568074871,82.6075196834557,8.08467723864822,14,2520,117.775416499957,98.0959678585768,8.64741916155383,15,2976,128.547938372153,76.3863682626386,7.75612885889507,16,2460,118.05225820831,67.0151090584305,7.45338693017801,17
3000,125.403725188352,58.9231027413869,7.68854821524433,1,2844,130.859835331388,107.675766502787,8.83629012507417,2,2940,128.578035424144,84.4281014448472,8.12403207647825,3,2592,116.372881797889,53.3935845975746,7.12290306659716,4,2736,115.878101806129,51.5565337666206,7.45161273666928,5,2664,119.552730789235,53.1872706182388,7.07016113229216,6,2628,115.382093414145,61.5964724694026,7.80129014820822,7,2820,121.173703312132,73.5494395766566,8.29774175001489,8,2760,120.67622288944,80.2283150893004,8.0024191759707,9,2664,115.152650898157,54.8554827711295,7.07338693867167,10,2868,123.681975157988,60.1500241368873,7.26548370857152,11,2544,113.778555256298,68.5601478570817,7.756612729852,12,2688,116.894350264027,78.5621466769522,7.89483853321402,13,2676,113.549383668394,36.8136776708412,6.43306437233884,14,2736,115.878101806129,115.139024404299,8.87612883386112,15,3036,134.687575994173,64.4785228809125,7.90532240394743,16,2772,119.397133926922,64.6541197326384,7.94338691922566,17
2148,118.158858681735,137.123580240972,9.6914513962824,1,2388,123.320926886399,49.8768530237907,6.85064500816647,2,1812,107.160036540671,43.8901873378071,5.65822567998041,3,1272,82.5833761732975,21.2516829367465,4.80548376355681,4,1764,106.291554641174,57.5256757474933,5.97209664070678,5,1524,98.1302913234288,43.7826662355189,5.63483858372896,6,1560,94.8400386669488,36.5649731049316,4.97693537262779,7,2004,112.37730148046,34.3793908272975,5.83467728893964,8,1800,104.494403182516,125.410973378517,7.82177401871811,9,1608,94.666765635692,59.7348655574391,5.4941934255823,10,2004,111.79149639122,37.5367321388224,5.64854826084188,11,1620,99.9670928689334,32.8317168988837,5.83999986946583,12,1560,97.6654055306633,102.746994824502,7.03483855243652,13,1572,98.2285354312581,76.807247928871,5.90516115833194,14,1764,106.291554641174,135.797255736558,9.4449997888878,15,2832,131.694382191849,47.1281491575118,6.47645146814325,16,1680,99.7691242360982,93.2167581899085,6.72709662383122,17
3384,140.605361675656,135.483776745908,9.88290300490635,1,3444,141.451147746115,111.8028758264,8.07177401313017,2,3252,136.336289408363,94.2117825470856,7.1279030664854,3,2532,122.711965838529,93.3257875560884,6.80677404140513,4,3180,135.068639350977,91.0355151819534,7.50161273555169,5,2868,131.405697183372,81.1727184706911,6.31999985873699,6,2820,129.340409556404,97.0590853621625,7.32983854584276,7,3204,138.371737458712,90.014342231939,6.95467726390569,8,2940,133.966542127663,101.616922462057,7.7111288599009,9,2820,130.081126759969,90.1422284615327,6.95112887688822,10,3204,138.147560497046,97.4651930945908,7.23709661243183,11,2964,129.65992104,109.423968860587,7.79516111608715,12,2928,131.994753767251,102.870450327772,8.70612883766092,13,2820,130.756360040493,92.7319817372035,7.59903208821291,14,3180,135.068639350977,127.900487259392,9.70177397669683,15,3684,147.901806035293,73.2978583059449,7.83225788945152,16,2952,132.437052664267,104.059311503412,7.84241917954698,17
2748,121.187687202715,8.19990052094369,3.01112896495409,1,2976,128.85159862427,73.4376545421816,6.92387081298136,2,2568,119.199450238791,50.9911967299145,5.49467729653923,3,1932,102.957735027123,26.8090660808411,4.57354828487,4,2352,114.376031180891,49.5053398051639,5.90048373908165,5,2088,108.560136474695,46.9296220717711,5.43774181394087,6,2028,106.73377194991,46.2672887236242,5.49258052239255,7,2676,121.036520818123,58.4864581619766,6.15612889465786,8,2412,116.897077177125,76.7105100679655,7.32967725552378,9,2040,106.314907309854,44.8189527594569,5.54274181159393,10,2808,122.155249268137,59.1505087992348,6.0009676078034,11,2004,106.397371725905,56.0589045654216,6.4458063075379,12,2256,110.426839536244,104.255948200043,8.68854819289258,13,2232,110.420608474184,56.0764120219812,6.23951598956821,14,2352,114.376031180891,106.096326481551,8.68274174140947,15,3096,128.982286352973,81.0810580695806,7.26451596665767,16,2376,114.781673352926,62.6523112874318,6.38725792174979,17
2232,107.714235199475,61.3033428341244,6.26274179550068,1,2400,113.025014014419,102.399142874132,8.14032239869477,2,2448,117.881920169555,69.0146210211611,6.85403210486496,3,2040,103.346003315097,50.9989984735623,5.4316127818198,4,2088,104.651304177109,57.6932417999126,5.84725793381973,5,2256,110.880323182007,74.6296297144053,6.60645146523752,6,2184,108.453983883437,72.7776068255396,6.47338695208272,7,2268,107.157787694921,86.3272614096616,7.2043546776798,8,2292,109.202018660642,79.709167326957,7.59048370130721,9,2184,107.877750826046,73.9497857643711,7.19129016184278,10,2292,109.394436964262,69.2665984913503,6.69193533429455,11,2196,106.021187045342,98.8868935129332,8.26677400877158,12,2208,107.943754637993,141.15667639869,9.14693527942103,13,2124,103.74326040633,61.3410612378303,6.68999985046685,14,2088,104.651304177109,73.9008565146039,7.10693532501858,15,2364,111.897377805138,67.0661591288891,7.41693531808954,16,2256,109.147102916366,40.0956208875975,5.03709666160566,17
2556,126.79432578297,75.4272908477054,6.82274178298371,1,2424,128.821158450912,64.8508462783205,6.77790307430851,2,2448,123.218049953659,34.4225942481165,5.11435472439494,3,2340,117.767084293823,48.7989656882403,6.25967727944015,4,2460,122.800206073974,41.0504615290165,4.88709666495842,5,2208,120.348157202537,58.6827842285193,6.72145146266707,6,2304,119.923927708425,55.2072564513662,6.73999984934926,7,2508,127.667095930739,41.9856838116069,5.52806439256716,8,2352,122.13935881998,41.6204886019452,4.97999988868833,9,2412,119.321947008117,35.2708122068098,4.65338699276289,10,2472,125.495219701704,64.9093046632689,7.10967726044117,11,2232,120.458043679073,44.7335886599557,5.72096761406189,12,2304,121.890280116311,81.0053877770725,7.18145145238527,13,2436,121.096050160021,28.2950346840245,3.97677410466056,14,2460,122.800206073974,43.6086839791936,5.56951600454387,15,2844,135.012497043542,50.9388898513297,6.38532243792208,16,2304,121.635465633654,35.3229076366585,4.62209667088163,17
2556,119.011807582371,41.5379668697866,5.81209664428306,1,2484,121.49727067789,60.0107705307849,7.15016113050402,2,2568,119.936733679505,54.85713080627,6.7911288804645,3,1992,102.384561369618,47.4849819911229,6.58919340110714,4,2412,117.991154576012,60.7795263319728,7.14193532423627,5,2052,108.046640682585,40.3391685678425,5.71645148513057,6,2280,110.986214612345,58.7023444812592,6.86999984644353,7,2640,121.847987015015,48.1358884618708,6.24806437647391,8,2496,118.719349596523,68.0192590827484,7.38790306067395,9,2304,111.249476744968,47.9330123600836,6.3456450194541,10,2616,119.987547411876,64.8646247099753,7.17951596855757,11,2076,105.955089307703,82.6174528956521,8.13741917295321,12,2268,111.448735967508,99.164925921724,8.29145142757484,13,2316,112.993806787322,38.2613646018667,5.85887083678596,14,2412,117.991154576012,48.7593280858896,6.48612888728178,15,2460,121.847587651569,63.4913127821581,7.25145145082065,16,2460,116.114511772198,64.1857588950446,7.11854822798482,17
2076,104.147363691497,56.8198285063484,7.01483855288356,1,2088,111.313235335244,59.4206866778715,7.0732256483527,2,2160,112.568759003058,42.289805265384,6.25516115050883,3,1944,101.694658457213,31.720352694459,5.15499988477677,4,2124,105.526030890655,42.5425082443484,6.03419341351236,5,2100,110.810342437797,43.1644482778026,5.80548374120507,6,2040,109.283137861128,41.8668925225423,5.80032245099785,7,2172,111.201649250771,56.7588724806692,6.91048371650639,8,2064,109.386638075173,63.1380396771882,7.33290306190329,9,2088,108.535490079807,35.5076705268386,6.03161276840875,10,2136,108.28733875179,47.6989152976766,6.46999985538423,11,2148,106.788383927783,53.82685872566,6.51629017693021,12,2172,110.546495068074,68.934504461749,7.27741919217571,13,2076,104.262030558191,34.0654364091626,5.37209665411783,14,2124,105.526030890655,85.6002300911913,7.65564499017332,15,2040,103.914071032286,57.4558821184247,7.12370951819204,16,2040,106.493376462421,42.5514491521258,5.96499986667186,17
2316,115.422668865025,57.71115966131,6.87129016899534,1,2508,121.233861245652,51.8782883878799,7.14209661455525,2,2340,116.443636587323,52.7217301036116,6.42451598543313,3,2028,103.850056446823,32.4695554686498,4.94967730872093,4,2268,110.970391142748,52.2081616717194,6.16080631390815,5,2232,110.571409474844,42.0204786643581,5.52596761842048,6,2244,112.176442115887,48.5301084966554,5.58370955261372,7,2400,117.966273450036,60.9931383071276,7.02822564935852,8,2304,113.80075730071,80.0517882843862,7.69854821502081,9,2304,111.253855710731,45.2171238496366,5.36564504135881,10,2376,117.167970625259,52.0560774126625,6.47919340356584,11,2184,108.288380584711,47.2121834461986,6.17806437803853,12,2124,114.262916362415,83.1032084748001,7.89999982342124,13,2076,106.959234001943,37.2584591792229,5.28951601080236,14,2268,110.970391142748,77.5809288095762,7.8719353079195,15,2256,114.978689884249,61.0423059746654,7.18225790398015,16,2160,113.04966826108,51.0781669039935,6.0154837365112,17
