"PEP_ID","National_ID","LON","LAT","ALT","NAME","latnum","lonnum"
"7153","11","23.0333","60.05",15,"Solböle",60.05,23.0333
"7154","12","24.9833","60.35",55,"Ruotsinkylä",60.35,24.9833
"7155","13","22.75","60.4333",50,"Preitilä",60.4333,22.75
"7156","14","26.1667","60.6167",30,"Lapinjärvi",60.6167,26.1667
"7158","21","24.45","61.0167",130,"Aulanko",61.0167,24.45
"7159","22","25.0333","61.3833",120,"Vesijako",61.3833,25.0333
"7160","23","23.0333","62.0167",113,"Parkano",62.0167,23.0333
"7163","31","29.3167","61.8",81,"Punkaharju",61.8,29.3167
"7164","32","27.05","62.6333",119,"Suonenjoki",62.6333,27.05
"7165","33","29.7167","62.6",80,"Joensuu",62.6,29.7167
"7166","34","30.9667","62.7667",148,"Mekrijärvi",62.7667,30.9667
"7167","35","29.8167","63.0667",135,"Koli",63.0667,29.8167
"7168","36","29.0167","63.55",142,"Nurmes",63.55,29.0167
"7169","37","27.7167","63",115,"Siilinjärvi",63,27.7167
"7172","44","23.8833","63.9167",40,"Kannus",63.9167,23.8833
"7173","51","26","64.8",25,"Muhos",64.8,26
"7174","52","28.05","64.65",295,"Paljakka",64.65,28.05
"7175","53","29.3","66.3667",170,"Oulanka",66.3667,29.3
"7178","63","29.6","67.7333",320,"Värriö",67.7333,29.6
"7180","71","23.8167","67.35",160,"Kolari",67.35,23.8167
"7181","72","24.15","68.0167",275,"Pallasjärvi",68.0167,24.15
"7184","75","27.1","69.05",155,"Muddusjärvi",69.05,27.1
"7185","77","27","69.75",120,"Kevo",69.75,27
"7188","1","23.7","54.1",119,"Veisejai",54.1,23.7
"7191","4","23.8167","54.2167",152,"Seirijai",54.2167,23.8167
"7192","5","24.55","54.25",110,"Varena",54.25,24.55
"7193","6","23.15","54.55",110,"Keturvalakiai",54.55,23.15
"7194","9","23.1667","54.95",74,"Luksiai",54.95,23.1667
"7195","10","23.5","54.9667",83,"Lekeciai",54.9667,23.5
"7196","11","24.95","55.05",126,"Sirvintos",55.05,24.95
"7197","12","24.2667","55.0667",65,"Jonava",55.0667,24.2667
"7198","13","22.3","55.1167",33,"Jurava",55.1167,22.3
"7199","14","21.9667","55.15",35,"Piktupenai",55.15,21.9667
"7200","15","23.9","55.1667",54,"Kruopiai",55.1667,23.9
"7201","16","23.4667","55.2667",91,"Ariogala",55.2667,23.4667
"7202","17","21.4667","55.35",11,"Silute",55.35,21.4667
"7204","19","23.8667","55.4",82,"Akademija",55.4,23.8667
"7205","20","23.15","55.4667",60,"Radviliskis",55.4667,23.15
"7207","22","26.3167","55.5167",164,"Dukstas",55.5167,26.3167
"7208","23","22.9167","55.6167",128,"Kelme",55.6167,22.9167
"7209","24","24.9667","55.8167",101,"Kupiskis",55.8167,24.9667
"7210","25","24.9","55.9167",81,"Salamiestis",55.9167,24.9
"7211","26","24.1667","56.0167",78,"Joniskelis",56.0167,24.1667
"7212","27","24.15","56.1",77,"Gruziai",56.1,24.15
"7213","28","22.8","56.15",93,"Papile",56.15,22.8
"7215","30","25.05","56.25",83,"Virskupenai",56.25,25.05
"8015","7","25.1","54.6333",142,"Traku Voke",54.6333,25.1
"8016","8","23.5","54.4833",197,"Kazlu Ruda",54.4833,23.5
